I0814 23:02:14.422851  490040 main.go:91] "Command line flag" add_dir_header="false"
E0814 23:07:24.251549  490040 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:08:05.677374  490040 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
E0814 23:08:05.677412  490040 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:08:45.224957  490040 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
E0814 23:08:45.224994  490040 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:09:29.309256  490040 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
E0814 23:09:29.309284  490040 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:10:07.853815  490040 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
E0814 23:10:07.853861  490040 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:10:46.653754  490040 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
E0814 23:10:46.653805  490040 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:11:23.228254  490040 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
E0814 23:11:23.229029  490040 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:11:59.334320  490040 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
E0814 23:11:59.334365  490040 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:12:40.186889  490040 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
E0814 23:12:40.187797  490040 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:14:28.004446  490040 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
E0814 23:14:28.004489  490040 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:15:43.832529  490040 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
E0814 23:15:43.832585  490040 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
I0814 23:16:31.544971  490040 shared_informer.go:289] Caches are synced for mailbox-controller
I0814 23:16:31.550880  490040 controller.go:111] "Informers synced"
I0814 23:16:48.093502  490040 controller.go:242] "Created missing workspace" worker=3 mbwsName="15zd4lc259q3m40t-mb-3a86338a-a41a-4324-8bb7-d3d74e6aae43"
I0814 23:16:48.098498  490040 controller.go:268] "Mailbox workspace does not have a Spec.Cluster yet" worker=3 mbwsName="15zd4lc259q3m40t-mb-3a86338a-a41a-4324-8bb7-d3d74e6aae43"
I0814 23:16:48.104555  490040 controller.go:268] "Mailbox workspace does not have a Spec.Cluster yet" worker=2 mbwsName="15zd4lc259q3m40t-mb-3a86338a-a41a-4324-8bb7-d3d74e6aae43"
I0814 23:16:48.115751  490040 controller.go:268] "Mailbox workspace does not have a Spec.Cluster yet" worker=3 mbwsName="15zd4lc259q3m40t-mb-3a86338a-a41a-4324-8bb7-d3d74e6aae43"
I0814 23:16:48.118862  490040 controller.go:268] "Mailbox workspace does not have a Spec.Cluster yet" worker=2 mbwsName="15zd4lc259q3m40t-mb-3a86338a-a41a-4324-8bb7-d3d74e6aae43"
I0814 23:16:48.143604  490040 controller.go:268] "Mailbox workspace does not have a Spec.Cluster yet" worker=3 mbwsName="15zd4lc259q3m40t-mb-3a86338a-a41a-4324-8bb7-d3d74e6aae43"
I0814 23:16:48.146616  490040 controller.go:268] "Mailbox workspace does not have a Spec.Cluster yet" worker=2 mbwsName="15zd4lc259q3m40t-mb-3a86338a-a41a-4324-8bb7-d3d74e6aae43"
I0814 23:16:48.224732  490040 controller.go:268] "Mailbox workspace does not have a Spec.Cluster yet" worker=3 mbwsName="15zd4lc259q3m40t-mb-3a86338a-a41a-4324-8bb7-d3d74e6aae43"
I0814 23:16:48.403462  490040 controller.go:300] "Created APIBinding" worker=2 mbwsName="15zd4lc259q3m40t-mb-3a86338a-a41a-4324-8bb7-d3d74e6aae43" mbwsCluster="cpj6yidizeduqcz9" bindingName="bind-edge" resourceVersion="1250"
W0814 23:22:15.590157  490040 reflector.go:494] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: watch of *v1alpha1.Workspace ended with: an error on the server ("unable to decode an event from the watch stream: http2: client connection lost") has prevented the request from succeeding
W0814 23:22:15.590298  490040 reflector.go:494] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: watch of *v1alpha1.SyncTarget ended with: an error on the server ("unable to decode an event from the watch stream: http2: client connection lost") has prevented the request from succeeding
I0814 23:24:31.212597  490040 controller.go:242] "Created missing workspace" worker=2 mbwsName="15zd4lc259q3m40t-mb-64a04991-1049-4dde-ad07-d99f9dd478e5"
I0814 23:24:31.213686  490040 controller.go:268] "Mailbox workspace does not have a Spec.Cluster yet" worker=1 mbwsName="15zd4lc259q3m40t-mb-64a04991-1049-4dde-ad07-d99f9dd478e5"
I0814 23:24:31.219697  490040 controller.go:268] "Mailbox workspace does not have a Spec.Cluster yet" worker=2 mbwsName="15zd4lc259q3m40t-mb-64a04991-1049-4dde-ad07-d99f9dd478e5"
I0814 23:24:31.223304  490040 controller.go:268] "Mailbox workspace does not have a Spec.Cluster yet" worker=1 mbwsName="15zd4lc259q3m40t-mb-64a04991-1049-4dde-ad07-d99f9dd478e5"
I0814 23:24:31.230930  490040 controller.go:268] "Mailbox workspace does not have a Spec.Cluster yet" worker=2 mbwsName="15zd4lc259q3m40t-mb-64a04991-1049-4dde-ad07-d99f9dd478e5"
I0814 23:24:31.251019  490040 controller.go:268] "Mailbox workspace does not have a Spec.Cluster yet" worker=1 mbwsName="15zd4lc259q3m40t-mb-64a04991-1049-4dde-ad07-d99f9dd478e5"
I0814 23:24:31.271928  490040 controller.go:268] "Mailbox workspace does not have a Spec.Cluster yet" worker=2 mbwsName="15zd4lc259q3m40t-mb-64a04991-1049-4dde-ad07-d99f9dd478e5"
I0814 23:24:31.486405  490040 controller.go:300] "Created APIBinding" worker=1 mbwsName="15zd4lc259q3m40t-mb-64a04991-1049-4dde-ad07-d99f9dd478e5" mbwsCluster="2u40jkzfqx56j49z" bindingName="bind-edge" resourceVersion="1340"
W0815 01:29:02.308831  490040 reflector.go:494] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: watch of *v1alpha1.Workspace ended with: an error on the server ("unable to decode an event from the watch stream: http2: client connection lost") has prevented the request from succeeding
E0815 01:29:02.308948  490040 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: Get "https://10.0.2.15:6443/services/apiexport/310rkkl1jtooufgo/edge.kubestellar.io/clusters/%2A/apis/edge.kubestellar.io/v1alpha1/synctargets?allowWatchBookmarks=true&resourceVersion=1459&timeout=6m33s&timeoutSeconds=393&watch=true": http2: client connection lost
W0815 01:39:49.153629  490040 reflector.go:494] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: watch of *v1alpha1.Workspace ended with: an error on the server ("unable to decode an event from the watch stream: http2: client connection lost") has prevented the request from succeeding
W0815 01:39:49.154707  490040 reflector.go:494] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: watch of *v1alpha1.SyncTarget ended with: an error on the server ("unable to decode an event from the watch stream: http2: client connection lost") has prevented the request from succeeding
W0815 01:55:26.049900  490040 reflector.go:494] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: watch of *v1alpha1.Workspace ended with: an error on the server ("unable to decode an event from the watch stream: http2: client connection lost") has prevented the request from succeeding
W0815 01:55:26.049948  490040 reflector.go:494] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: watch of *v1alpha1.SyncTarget ended with: an error on the server ("unable to decode an event from the watch stream: http2: client connection lost") has prevented the request from succeeding
W0815 02:01:40.841061  490040 reflector.go:494] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: watch of *v1alpha1.Workspace ended with: an error on the server ("unable to decode an event from the watch stream: http2: client connection lost") has prevented the request from succeeding
W0815 02:01:40.841172  490040 reflector.go:494] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: watch of *v1alpha1.SyncTarget ended with: an error on the server ("unable to decode an event from the watch stream: http2: client connection lost") has prevented the request from succeeding
W0815 11:06:17.114452  490040 reflector.go:494] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: watch of *v1alpha1.SyncTarget ended with: an error on the server ("unable to decode an event from the watch stream: http2: client connection lost") has prevented the request from succeeding
W0815 11:06:17.114515  490040 reflector.go:494] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: watch of *v1alpha1.Workspace ended with: an error on the server ("unable to decode an event from the watch stream: http2: client connection lost") has prevented the request from succeeding
W0815 11:26:04.987715  490040 reflector.go:494] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: watch of *v1alpha1.Workspace ended with: an error on the server ("unable to decode an event from the watch stream: http2: client connection lost") has prevented the request from succeeding
W0815 11:26:04.989161  490040 reflector.go:494] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: watch of *v1alpha1.SyncTarget ended with: an error on the server ("unable to decode an event from the watch stream: http2: client connection lost") has prevented the request from succeeding
W0815 13:29:36.629781  490040 reflector.go:494] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: watch of *v1alpha1.Workspace ended with: an error on the server ("unable to decode an event from the watch stream: http2: client connection lost") has prevented the request from succeeding
W0815 13:29:36.629830  490040 reflector.go:494] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: watch of *v1alpha1.SyncTarget ended with: an error on the server ("unable to decode an event from the watch stream: http2: client connection lost") has prevented the request from succeeding
W0815 13:36:02.331676  490040 reflector.go:494] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: watch of *v1alpha1.SyncTarget ended with: an error on the server ("unable to decode an event from the watch stream: context canceled") has prevented the request from succeeding
W0815 13:36:03.459777  490040 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: Get "https://10.0.2.15:6443/services/apiexport/310rkkl1jtooufgo/edge.kubestellar.io/clusters/%2A/apis/edge.kubestellar.io/v1alpha1/synctargets?resourceVersion=1554": dial tcp 10.0.2.15:6443: connect: connection refused
E0815 13:36:03.461440  490040 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: Get "https://10.0.2.15:6443/services/apiexport/310rkkl1jtooufgo/edge.kubestellar.io/clusters/%2A/apis/edge.kubestellar.io/v1alpha1/synctargets?resourceVersion=1554": dial tcp 10.0.2.15:6443: connect: connection refused
W0815 13:36:06.005335  490040 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: Get "https://10.0.2.15:6443/services/apiexport/310rkkl1jtooufgo/edge.kubestellar.io/clusters/%2A/apis/edge.kubestellar.io/v1alpha1/synctargets?resourceVersion=1554": dial tcp 10.0.2.15:6443: connect: connection refused
E0815 13:36:06.005396  490040 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: Get "https://10.0.2.15:6443/services/apiexport/310rkkl1jtooufgo/edge.kubestellar.io/clusters/%2A/apis/edge.kubestellar.io/v1alpha1/synctargets?resourceVersion=1554": dial tcp 10.0.2.15:6443: connect: connection refused
W0815 13:36:12.181965  490040 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: Get "https://10.0.2.15:6443/services/apiexport/310rkkl1jtooufgo/edge.kubestellar.io/clusters/%2A/apis/edge.kubestellar.io/v1alpha1/synctargets?resourceVersion=1554": dial tcp 10.0.2.15:6443: connect: connection refused
E0815 13:36:12.182009  490040 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: Get "https://10.0.2.15:6443/services/apiexport/310rkkl1jtooufgo/edge.kubestellar.io/clusters/%2A/apis/edge.kubestellar.io/v1alpha1/synctargets?resourceVersion=1554": dial tcp 10.0.2.15:6443: connect: connection refused
W0815 13:36:22.244427  490040 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: Get "https://10.0.2.15:6443/services/apiexport/310rkkl1jtooufgo/edge.kubestellar.io/clusters/%2A/apis/edge.kubestellar.io/v1alpha1/synctargets?resourceVersion=1554": dial tcp 10.0.2.15:6443: connect: connection refused
E0815 13:36:22.244460  490040 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: Get "https://10.0.2.15:6443/services/apiexport/310rkkl1jtooufgo/edge.kubestellar.io/clusters/%2A/apis/edge.kubestellar.io/v1alpha1/synctargets?resourceVersion=1554": dial tcp 10.0.2.15:6443: connect: connection refused
